2 53 205
2 39 181
3 188 291 274
3 296 40 250
3 96 199 2
3 166 138 169
2 232 248
3 91 124 183
3 224 45 130
3 113 81 257
3 21 139 247
2 226 16
3 245 5 151
3 79 287 149
3 129 118 9
3 44 70 278
3 267 101 84
3 213 98 165
3 198 119 211
3 19 83 175
3 57 235 153
3 200 25 173
3 60 10 52
3 58 61 251
3 261 283 178
3 156 201 132
3 125 93 49
3 63 131 77
3 38 190 46
3 263 90 189
3 187 48 123
3 171 147 135
3 18 269 94
3 105 114 69
3 56 195 229
3 144 23 1
3 74 76 293
3 107 6 194
3 225 73 37
3 285 42 208
3 150 140 270
3 273 22 143
3 218 237 240
3 15 197 272
3 193 177 279
3 227 298 186
3 290 117 256
3 137 160 97
3 95 109 233
3 92 163 30
3 220 27 206
3 136 170 231
3 276 191 17
3 260 258 120
3 13 253 288
3 127 89 47
3 161 86 228
3 62 236 297
3 210 209 215
3 133 3 66
3 24 26 71
3 99 172 196
3 203 207 100
3 299 158 176
3 246 111 252
3 286 254 67
3 159 243 126
3 75 271 280
3 259 11 262
3 162 268 43
3 134 185 192
3 148 295 154
3 294 157 182
3 7 50 145
3 4 82 104
3 8 64 155
3 72 14 59
3 80 68 142
3 103 122 141
3 88 121 152
3 110 146 289
3 212 202 55
3 249 222 51
3 164 217 264
3 184 204 12
3 41 284 292
3 87 241 78
3 275 28 31
3 85 239 115
3 108 244 106
3 34 128 265
3 54 102 242
3 168 282 266
3 116 174 238
3 65 32 255
3 33 214 223
3 180 29 20
3 0 281 35
3 167 277 112
3 216 230 219

